WellClass_Name
EXP
EXP
EXP
EXP
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
ORD APP
ORD APP
DEV
DEV
DEV
DEV
DEV
DEV
ORD APP
ORD APP
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
ORD APP
ORD APP
DEV
DEV
DEV
DEV
EXP
ORD APP
ORD APP
EXP
EXP
ORD APP
ORD APP
ORD APP
EXP
EXP
EXP
EXP
EXP
DEV
DEV
EXP
DEV
ORD APP
ORD APP
DEV
DEV
DEV
DEV
ORD APP
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
EXP
EXP
DEV
DEV
EXP
EXP
ORD APP
DEV
DEV
DEV
DEV
DEV
DEV
ORD APP
DEV
EXP
EXP
EXP
EXP
EXP
ORD APP
EXP
DEV
DEV
ORD APP
ORD APP
DEV
DEV
DEV
DEV
DEV
DEV
EXP
ORD APP
ORD APP
EXP
ORD APP
ORD APP
EXP
DEV
DEV
DEV
DEV
DEV
EXP
EXP
DEV
DEV
DEV
DEV
ORD APP
DEV
DEV
DEV
DEV
EXP
ORD APP
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
EXP
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
EXP
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
ORD APP
ORD APP
DEV
DEV
DEV
DEV
ORD APP
ORD APP
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
EXP
EXP
EXP
ORD APP
ORD APP
ORD APP
EXP
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
ORD APP
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
ORD APP
ORD APP
DEV
DEV
DEV
DEV
DEV
2nd APP
EXP
EXP
2nd APP
EXP
SCI
EXP
EXP
ORD APP
ORD APP
DEV
DEV
DEV
ORD APP
EXP
EXP
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
ORD APP
DEV
ORD APP
ORD APP
DEV
DEV
DEV
DEV
DEV
ORD APP
ORD APP
EXP
ORD APP
DEV
DEV
EXP
ORD APP
ORD APP
ORD APP
ORD APP
ORD APP
ORD APP
ORD APP
ORD APP
ORD APP
ORD APP
ORD APP
DEV
DEV
ORD APP
ORD APP
ORD APP
ORD APP
ORD APP
DEV
EXP
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
ORD APP
ORD APP
ORD APP
DEV
DEV
DEV
DEV
DEV
DEV
EXP
EXP
ORD APP
ORD APP
ORD APP
DEV
DEV
DEV
DEV
DEV
DEV
DEV
ORD APP
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
ORD APP
DEV
DEV
DEV
DEV
DEV
ORD APP
DEV
DEV
DEV
DEV
ORD APP
DEV
DEV
ORD APP
ORD APP
ORD APP
ORD APP
ORD APP
SCI
SCI
SCI
SCI
1st APP
EXP
EXP
DEV
DEV
DEV
DEV
DEV
DEV
ORD APP
ORD APP
ORD APP
DEV
DEV
DEV
DEV
DEV
EXP
EXP
EXP
EXP
DEV
DEV
DEV
DEV
EXP
ORD APP
ORD APP
DEV
DEV
ORD APP
ORD APP
ORD APP
ORD APP
ORD APP
ORD APP
DEV
DEV
DEV
DEV
ORD APP
DEV
ORD APP
ORD APP
DEV
ORD APP
ORD APP
DEV
ORD APP
DEV
DEV
DEV
ORD APP
DEV
DEV
ORD APP
ORD APP
ORD APP
ORD APP
DEV
DEV
DEV
DEV
DEV
ORD APP
DEV
ORD APP
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
ORD APP
DEV
DEV
DEV
ORD APP
DEV
DEV
DEV
DEV
DEV
DEV
DEV
ORD APP
DEV
DEV
DEV
DEV
DEV
DEV
ORD APP
ORD APP
ORD APP
DEV
DEV
DEV
DEV
EXP
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
ORD APP
DEV
DEV
ORD APP
ORD APP
ORD APP
ORD APP
ORD APP
DEV
DEV
DEV
DEV
DEV
EXP
EXP
EXP
ORD APP
EXP
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
EXP
EXP
EXP
EXP
EXP
EXP
EXP
EXP
EXP
ORD APP
ORD APP
EXP
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
EXP
EXP
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
ORD APP
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
ORD APP
DEV
DEV
DEV
DEV
DEV
EXP
EXP
EXP
EXP
ORD APP
EXP
ORD APP
ORD APP
ORD APP
ORD APP
DEV
DEV
EXP
ORD APP
ORD APP
ORD APP
ORD APP
ORD APP
ORD APP
ORD APP
EXP
EXP
EXP
EXP
EXP
EXP
DEV
EXP
EXP
EXP
ORD APP
ORD APP
EXP
EXP
ORD APP
ORD APP
ORD APP
ORD APP
ORD APP
EXP
ORD APP
ORD APP
ORD APP
ORD APP
DEV
DEV
DEV
EXP
EXP
EXP
ORD APP
DEV
ORD APP
ORD APP
ORD APP
DEV
ORD APP
ORD APP
DEV
DEV
DEV
DEV
DEV
DEV
EXP
ORD APP
EXP
EXP
EXP
DEV
ORD APP
DEV
DEV
DEV
DEV
ORD APP
ORD APP
DEV
ORD APP
DEV
DEV
DEV
DEV
DEV
EXP
EXP
ORD APP
ORD APP
ORD APP
ORD APP
ORD APP
ORD APP
ORD APP
EXP
ORD APP
EXP
EXP
EXP
EXP
EXP
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
EXP
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
EXP
EXP
EXP
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
ORD APP
DEV
ORD APP
ORD APP
DEV
ORD APP
ORD APP
ORD APP
ORD APP
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
DEV
EXP
ORD APP
ORD APP
EXP
EXP
EXP
EXP
ORD APP
EXP
ORD APP
ORD APP
DEV
DEV
DEV
