Well_Name,WellType_Name,WellClass_Name,Total_Dept,SPud_Date,Remarks,Production Completed
DELTA SOUTH-43H,Oil Producer,DEV,3686,Feb 13/02,,
DELTA SOUTH-44H,Oil Producer,DEV,3551,Feb 16/02,,
DELTA SOUTH-45H,Oil Producer,DEV,2929,Feb 18/02,,
DELTA SOUTH-46H,Oil Producer,DEV,3738,Oct 27/03,,
DELTA SOUTH-47H,Oil Producer,DEV,3286,May 25/04,,
DELTA SOUTH-47ST1,Oil Producer,DEV,3381,Jul 04/04,,
DELTA SOUTH-48H,Oil Producer,DEV,3347,May 30/04,,
DELTA SOUTH-49H,Oil Producer,DEV,3783,Aug 08/04,,
DELTA SOUTH-5,Oil Producer,DEV,3180,Nov 12/65,,
DELTA SOUTH-50H,Oil Producer,DEV,3193,Sep 12/04,,
DELTA SOUTH-50HST,Oil Producer,DEV,3475,Sep 01/04,,
DELTA SOUTH-51C,Oil Producer,DEV,3521,Jan 19/06,,
DELTA SOUTH-6,Oil Producer,DEV,2989.8,Jan 03/66,,
DELTA SOUTH-7,Oil Producer,DEV,3002.3,Feb 21/66,,
DELTA SOUTH-8,Oil Producer,DEV,2804.2,Feb 13/67,,
DELTA SOUTH-9,Oil Producer,DEV,2734.1,Dec 01/66,,
DELTA SOUTHWEST-31,Oil Producer,DEV,2957,Apr 02/81,,
DELTA SOUTHWEST-32,Oil Producer,DEV,3335,Jun 05/81,,
DELTA SOUTHWEST-33,Oil Producer,DEV,3130,Aug 18/81,,
DELTA SOUTHWEST-34,Oil Producer,DEV,3185,Nov 01/81,,
DELTA-1,Not Applicable,EXP,2756,Feb 18/65,,
DELTA-10,Oil Producer,DEV,2640,May 09/68,,
DELTA-11,Oil Producer,DEV,2896,Sep 02/70,,
DELTA-12,Oil Producer,DEV,2640,Oct 22/70,,
DELTA-13,Oil Producer,DEV,3572,Nov 09/70,,
DELTA-14,Oil Producer,DEV,2060,Dec 12/71,,
DELTA-15,Oil Producer,DEV,2920,Jan 16/73,,
DELTA-16,Oil Producer,DEV,2758,Apr 05/73,,
DELTA-17,Oil Producer,DEV,2548,Apr 19/73,,
DELTA-17H,Oil Producer,DEV,3185.5,Apr 12/00,,
DELTA-18,Oil Producer,DEV,2907,Oct 08/73,,
DELTA-19,Oil Producer,DEV,2762,Nov 23/73,,
DELTA-2,Not Applicable,ORD APP,2591,Mar 23/65,,
DELTA-20,Oil Producer,DEV,2693,Dec 11/73,,
DELTA-21,Oil Producer,DEV,2743,Jan 07/74,,
DELTA-22,Oil Producer,DEV,2835,Feb 28/75,,
DELTA-23,Oil Producer,DEV,3539,Jan 26/75,,
DELTA-23HST2,Oil Producer,DEV,3036,Dec 11/00,,
DELTA-24,Oil Producer,DEV,2463,Aug 28/75,,
DELTA-25,Oil Producer,DEV,2431,Sep 12/75,,
DELTA-26,Oil Producer,DEV,2210,May 30/76,,
DELTA-27,Oil Producer,DEV,2478,Aug 27/76,,
DELTA-28,Oil Producer,DEV,2204,Sep 28/76,,
DELTA-29,Oil Producer,DEV,2449,Mar 05/77,,
DELTA-3,Not Applicable,ORD APP,2623,May 13/66,,
DELTA-30,Oil Producer,DEV,2408,Feb 24/77,,
DELTA-31,Oil Producer,DEV,2523,Apr 01/83,,
DELTA-32,Oil Producer,DEV,2518,Dec 16/98,,
DELTA-32ST1,Oil Producer,DEV,2914,Dec 20/98,,
DELTA-32ST2,Oil Producer,DEV,3073,Jan 01/99,,
DELTA-33H,Oil Producer,DEV,3450,Feb 12/99,,
DELTA-33HST1,Oil Producer,DEV,2981,Mar 01/99,,
DELTA-34I,Water Injector,DEV,2816,Feb 28/00,DUMPFLOOD,
DELTA-35H,Oil Producer,DEV,3113,Mar 21/00,,
DELTA-36H,Oil Producer,DEV,2786,Jan 02/01,,
DELTA-37H,Oil Producer,DEV,2761,Feb 01/01,,
DELTA-38H,Oil Producer,DEV,3179,Feb 17/02,,
DELTA-39H,Oil Producer,DEV,3057,Oct 28/03,,
DELTA-4,Oil Producer,DEV,2627,Dec 09/66,,
DELTA-40ST1,Oil Producer,DEV,2433,Feb 01/05,,
DELTA-41,Oil Producer,DEV,2053,Mar 06/05,,
DELTA-42,Oil Producer,DEV,2312,Apr 07/05,,
DELTA-43,Oil Producer,DEV,2555,Mar 01/06,,
DELTA-45,Oil Producer,DEV,2076,Jul 21/07,,
DELTA-40PH,Oil Producer,DEV,2713,Feb 03/05,,
DELTA-5,Oil Producer,DEV,2654,Jan 19/67,,
DELTA-6,Oil Producer,DEV,2757,Dec 23/66,,
DELTA-7,Oil Producer,DEV,2803,Feb 28/67,,
DELTA-7B,Oil Producer,DEV,2836,Apr 14/68,,
DELTA-8,Oil Producer,DEV,2378,Sep 28/67,,
DELTA-9,Oil Producer,DEV,2836,Apr 14/68,,
DIBI-1,Not Applicable,EXP,3638,Sep 15/95,,
DIBI-10,Oil Producer,DEV,3071,Sep 20/98,,
DIBI-11,Oil Producer,DEV,2718,Oct 08/98,,
DIBI-11HST1,Oil Producer,DEV,2110,Oct 14/98,,
DIBI-11HST2,Oil Producer,DEV,2790,Nov 01/98,,
DIBI-12,Oil Producer,DEV,3069,Dec 05/98,,
DIBI-13,Oil Producer,DEV,2070,Dec 22/98,,
DIBI-13HST,Oil Producer,DEV,2640,Feb 26/00,,
DIBI-14,Oil Producer,DEV,2929,May 03/00,,
DIBI-15,Water Injector,DEV,2627,Jun 13/00,,
DIBI-16HI,Water Injector,DEV,2607,Jun 30/00,,
DIBI-17WSW(R),Water Injector,DEV,951,Aug 28/00,,
DIBI-18H,Oil Producer,DEV,2602,Nov 09/01,,
DIBI-18HST2,Oil Producer,DEV,3000,Nov 30/01,,
DIBI-18HST3,Oil Producer,DEV,2323,Dec 07/01,,
DIBI-19,Oil Producer,DEV,3149,Dec 13/01,,
DIBI-2,Not Applicable,ORD APP,2996,Nov 03/95,,
DIBI-20,Oil Producer,DEV,2972,Dec 29/01,,
DIBI-21H,Oil Producer,DEV,2455,Jan 10/02,,
DIBI-22HI,Water Injector,DEV,2862,Jan 25/02,,
DIBI-23H,Oil Producer,DEV,2622,Feb 06/02,,
DIBI-24HI,Water Injector,DEV,2531,Feb 22/02,,
DIBI-25H,Oil Producer,DEV,2438,Mar 13/02,,
DIBI-26H,Oil Producer,DEV,2616,Apr 02/02,,
DIBI-27H,Oil Producer,DEV,2730,Apr 15/02,,
DIBI-28H,Oil Producer,DEV,2662,Apr 28/02,,
DIBI-29HI,Water Injector,DEV,2657,May 09/02,,
DIBI-2ST1,Not Applicable,ORD APP,2827,Nov 19/95,,
DIBI-30H,Oil Producer,DEV,2507,Jun 02/02,,
DIBI-31HI,Water Injector,DEV,2725,Jun 18/02,,
DIBI-32HI,Water Injector,DEV,2665,Aug 07/02,,
DIBI-33HI,Water Injector,DEV,2770,Aug 21/02,,
DIBI-34HI,Water Injector,DEV,2544,Sep 05/02,,
DIBI-35H,Oil Producer,DEV,2844,Sep 14/02,,
DIBI-4,Oil Producer,DEV,2854,Aug 18/96,,
DIBI-5,Oil Producer,DEV,2448,Sep 25/96,,
DIBI-6,Oil Producer,DEV,3148,Mar 27/97,,
DIBI-7,Oil Producer,DEV,3005,May 23/98,,
DIBI-8,Oil Producer,DEV,2859,Jun 16/98,,
DIBI-9,Oil Producer,DEV,2262,Jul 20/98,,
DIEBU CREEK EAST-1,Not Applicable,EXP,3995,Feb 27/89,,
DIEBU CREEK EAST-2,Not Applicable,ORD APP,2332,Jun 09/91,,
DIEBU CREEK-1,Not Applicable,EXP,3859.4,Sep 29/66,,
DIEBU CREEK-10,Not Applicable,ORD APP,3209.5,Jun 08/73,,
DIEBU CREEK-11,Not Applicable,ORD APP,3861.8,Jun 18/73,,
DIEBU CREEK-12,Not Applicable,ORD APP,3200.4,Nov 02/74,,
DIEBU CREEK-13,Oil Producer,DEV,3215.6,Nov 11/74,,
DIEBU CREEK-14,Oil Producer,DEV,3215.6,Nov 17/74,,
DIEBU CREEK-15,Oil Producer,DEV,3200,Nov 27/74,,
DIEBU CREEK-16,Not Applicable,ORD APP,3874,Sep 14/91,,
DIEBU CREEK-2,Not Applicable,ORD APP,3657.6,Oct 09/71,,
DIEBU CREEK-3,Not Applicable,ORD APP,3742.9,May 16/72,,
DIEBU CREEK-4,Not Applicable,ORD APP,3810,Jul 23/72,,
DIEBU CREEK-5,Not Applicable,ORD APP,3535.7,Oct 25/72,,
DIEBU CREEK-6,Not Applicable,ORD APP,3535.7,Nov 14/72,,
DIEBU CREEK-7,Not Applicable,ORD APP,3200.4,Jan 05/73,,
DIEBU CREEK-8,Not Applicable,ORD APP,3200.4,Jan 05/73,,
DIEBU CREEK-9,Not Applicable,ORD APP,3203.5,May 26/73,,
DIKAMA-1,Not Applicable,EXP,4073,Dec 18/74,,
DILA-1,Not Applicable,EXP,"10,602ft",20/06/2013,,
DIMNEZE-1,Not Applicable,EXP,3204.1,Dec 09/59,,
DODO NORTH-1,Not Applicable,EXP,4419.6,Apr 09/81,,
DODO NORTH-2,Not Applicable,ORD APP,3918,Jul 19/89,,
DODO RIVER-1,Not Applicable,EXP,3753.6,Jul 08/71,,
DORO-1,Not Applicable,EXP,4876.5,Jan 06/99,,
DOU-1,Not Applicable,EXP,4304,Oct 22/04,,
DUBAGBENE-1,Not Applicable,EXP,3164,Nov 05/72,,
EA-1,Not Applicable,EXP,2339,Apr 19/65,,
EA-10,Not Applicable,ORD APP,2661,Sep 24/84,,
EA-11,Not Applicable,ORD APP,3143,Nov 02/84,,
EA-12,Not Applicable,ORD APP,2644,Dec 29/87,,
EA-13,Oil Producer,DEV,2824,Aug 06/89,,
EA-14,Not Applicable,ORD APP,3000,May 16/90,,
EA-14ST1,Not Applicable,EXP,3068,Jul 05/90,,
EA-15,Not Applicable,ORD APP,2456,Sep 19/90,,
EA-16,Not Applicable,ORD APP,3299,Oct 27/90,,
EA-17,Not Applicable,ORD APP,3706,Feb 28/91,,
EA-18,Not Applicable,ORD APP,3475,Aug 11/92,,
EA-19,Oil Producer,DEV,3048,May 29/01,,
EA-2,Not Applicable,ORD APP,2256,May 14/65,,
EA-20,Oil Producer,DEV,2565,May 02/02,,
EA-21,Oil Producer,DEV,2280,Mar 05/02,,
EA-22,Oil Producer,DEV,2158,Feb 12/02,,
EA-23,Oil Producer,DEV,2409,Apr 01/02,,
EA-24,Oil Producer,DEV,2729,Mar 21/02,,
EA-25,Oil Producer,DEV,2265,Aug 15/02,,
EA-26,Oil Producer,DEV,2740,Dec 29/01,,
EA-27,Oil Producer,DEV,2004,Jan 01/02,,
EA-28,Oil Producer,DEV,2184,Feb 25/02,,
EA-29,Oil Producer,DEV,2996,Apr 04/02,,
EA-3,Not Applicable,ORD APP,2250,Jul 09/65,,
EA-30,Oil Producer,DEV,2576,Jun 16/02,,
EA-31,Oil Producer,DEV,2961,May 21/02,,
EA-33,Oil Producer,DEV,2420,May 25/02,,
EA-34,Oil Producer,DEV,2190,Jun 24/02,,
EA-35,Oil Producer,DEV,2621,Jun 27/02,,
EA-36,Oil Producer,DEV,2401,Jun 30/02,,
EA-37,Oil Producer,DEV,,Aug 21/02,,
EA-39,Oil Producer,DEV,,Aug 29/02,,
EA-4,Not Applicable,ORD APP,3062,Apr 23/68,,
EA-5,Not Applicable,ORD APP,3553,Jun 09/68,,
EA-6,Not Applicable,ORD APP,2594,Sep 22/68,,
EA-7,Not Applicable,ORD APP,3414,Nov 13/68,,
EA-8,Not Applicable,ORD APP,3416,Mar 07/68,,
EA-9,Not Applicable,ORD APP,3201,Aug 08/69,,
EB-1,Not Applicable,EXP,3352.5,Oct 12/68,,
EB-2,Not Applicable,EXP,3200.4,May 11/69,,
EBE-1,Not Applicable,EXP,3901,Mar 15/82,,
EBEGORO DEEP-1,Not Applicable,EXP,4259,Jun 22/97,,
EBEGORO DEEP-1ST1,Not Applicable,EXP,4303,Oct 01/97,,
EBEGORO SOUTH-1,Not Applicable,EXP,4298,Aug 09/79,,
EBEGORO SOUTH-1B,Not Applicable,ORD APP,4356,May 27/87,,
EBEGORO SOUTH-1BST1,Not Applicable,ORD APP,4356,Jul 01/87,,
EBEGORO SOUTH-2,Not Applicable,ORD APP,4386,Dec 22/90,,
EBEGORO-1,Not Applicable,EXP,3952,May 20/75,,
EBEGORO-10,Not Applicable,ORD APP,3861,Dec 19/78,,
EBEGORO-11,Not Applicable,EXP,3800,Feb 18/83,,
EBEGORO-12,Water Injector,DEV,2829,Nov 09/93,,
EBEGORO-12ST1,Water Injector,DEV,3502,Dec 01/93,,
EBEGORO-13DIR,Oil Producer,DEV,3536,15.04.2011,,
EBEGORO-2,Not Applicable,ORD APP,3660,Jan 02/76,,
EBEGORO-2ST1,Oil Producer,DEV,,May 20/03,,
EBEGORO-2ST2,Oil Producer,DEV,3655,Jun 03/03,,
EBEGORO-3,Not Applicable,ORD APP,4029,Jan 24/76,,
EBEGORO-4,Not Applicable,ORD APP,3590,Apr 24/76,,
EBEGORO-5,Oil Producer,DEV,3011,Jun 05/76,,
EBEGORO-5BIS,Oil Producer,DEV,3811,Aug 26/76,,
EBEGORO-6,Oil Producer,DEV,3690,Jul 11/76,,
EBEGORO-7,Oil Producer,DEV,3490,Nov 07/76,,
EBEGORO-8,Oil Producer,DEV,4029,Oct 24/77,,
EBEGORO-9,Not Applicable,ORD APP,4315,Sep 18/78,,
EBEISO-1,Not Applicable,EXP,3698,Nov 15/97,,
EBEN-1,Not Applicable,EXP,2230mTVD,21-Dec-11,Ex Emem -7,
EBENDO-4,Oil Producer,DEV,"10,030ftMD",24-Mar-12,,
EBENDO-5,Oil Producer,DEV,"11,745ft",12-Oct-12,,
EBENDO-6,Oil Producer,DEV,"11,291ft",18-Apr-13,,
EBEZIBA-1,Not Applicable,EXP,4419.6,Dec 31/73,,
EBISAN-1,Not Applicable,EXP,3551,Jun 28/97,,
EBISAN-2H,Not Applicable,ORD APP,2101,Nov 24/97,,
EBISAN-3,Not Applicable,ORD APP,1292,Jan 11/98,,
EBISAN-3ST,Not Applicable,ORD APP,1434,Jan 26/98,,
EBISAN-4HST1,Not Applicable,ORD APP,1625,Mar 04/98,,
EBISAN-4HST2,Not Applicable,ORD APP,1567,Mar 17/98,,
EBISAN-5HST,Not Applicable,ORD APP,1561,Apr 30/98,,
EBISAN-6HST,Not Applicable,ORD APP,1500,May 01/98,,
EBISAN-6ST1,Not Applicable,ORD APP,1543,Jun 03/98,,
EBITEMI-1,Not Applicable,EXP,3718,Aug 12/97,,
EBITEMI-1ST1,Not Applicable,ORD APP,3719,Oct 01/97,,
EBIYA-1,Not Applicable,EXP,4003,Aug 18/02,,
EBOCHA-1,Not Applicable,EXP,3695.1,Mar 15/65,,
EBOCHA-10,Not Applicable,ORD APP,3811.2,Aug 28/72,,
EBOCHA-11,Not Applicable,ORD APP,3230.9,Nov 09/72,,
EBOCHA-12,Not Applicable,ORD APP,3616.2,Jun 21/73,,
EBOCHA-13,Not Applicable,ORD APP,3321,Jan 03/74,,
EBOCHA-14,Not Applicable,ORD APP,2942,Jan 16/74,,
EBOCHA-15,Not Applicable,ORD APP,2932,Feb 15/74,,
EBOCHA-16,Not Applicable,ORD APP,3444,Mar 23/74,,
EBOCHA-17,Not Applicable,ORD APP,3207,May 20/74,,
EBOCHA-18,Not Applicable,ORD APP,3415,May 10/75,,
EBOCHA-18ST1,Oil Producer,DEV,3106,Jan 01/01,,
EBOCHA-19,Oil Producer,DEV,3030,May 23/93,,
EBOCHA-1ST1,Oil Producer,DEV,3305,Jan 10/02,,
EBOCHA-2,Not Applicable,ORD APP,3616.5,Jan 21/66,,
EBOCHA-20,Oil Producer,DEV,3028,Jan 25/00,,
EBOCHA-21,Oil Producer,DEV,3063,Jul 11/01,,
EBOCHA-22DIR,Oil Producer,DEV,2260,Jun 20/03,,
EBOCHA-22ST1,Oil Producer,DEV,2220,Jul 01/03,,
EBOCHA-23ST,Oil Producer,DEV,3504,13.07.2012,,
EBOCHA-3,Not Applicable,ORD APP,3579.9,Apr 15/66,,
EBOCHA-4,Not Applicable,ORD APP,3297.9,Jun 24/66,,
EBOCHA-5,Not Applicable,ORD APP,3444.5,Dec 29/66,,
EBOCHA-5ST1,Not Applicable,ORD APP,3308,Feb 09/03,,
EBOCHA-5ST2,Not Applicable,ORD APP,3286,Mar 01/03,,
EBOCHA-6,Not Applicable,ORD APP,3362.9,Feb 28/67,,
EBOCHA-7,Not Applicable,ORD APP,3403.1,Dec 15/70,,
EBOCHA-7ST1,Oil Producer,DEV,2545,Mar 14/01,,
EBOCHA-8,Not Applicable,ORD APP,3398.5,Jun 16/70,,
EBOCHA-8ST1,Oil Producer,DEV,2289,Nov 02/01,,
EBOCHA-9,Not Applicable,ORD APP,3394.9,Jan 13/72,,
EBOCHA-9ST1,Oil Producer,DEV,2957,Nov 01/00,,
EBOK-1,Not Applicable,EXP,1614.8,Feb 13/68,,
EBOK-10,Oil Producer,DEV,,13 May. 2010,,
EBOK-11ST1,Oil Producer,DEV,6905ftMD,,,
EBOK-12,Oil Producer,DEV,7084ft MD,7-May-10,,
EBOK-12,Oil Producer,DEV,4855ftMD,7-May-10,,
EBOK-13,Oil Producer,DEV,6900ft,5/1/2010 (May 01),,
EBOK-14,Oil Producer,DEV,6424ftMD,3/13/2010,,
EBOK-15,Not Applicable,ORD APP,4420ft,16 Jun. 2010,,
EBOK-15ST1,Oil Producer,DEV,5731ftMD,10 Jul. 2010,,
EBOK-15ST2,Not Applicable,ORD APP,6101ftMD,20 Jul. 2010,,
EBOK-15ST3,Not Applicable,ORD APP,6686ftMD,20 Jul. 2010,,
EBOK-16,Oil Producer,DEV,6608ftMD,4-May-11,,
EBOK-17,Oil Producer,DEV,2899ftMD,8-May-11,,
EBOK-17ST1,Oil Producer,DEV,6790ftMD,8-May-11,,
EBOK-18,Oil Producer,DEV,8223ftMD,8-May-11,,
EBOK-19,Oil Producer,DEV,5265ftMD,18-Sep-11,,
EBOK-19ST,Oil Producer,DEV,6386ftMD,18-Sep-11,,
EBOK-2,Not Applicable,ORD APP,1290.5,Jan 15/70,,
EBOK-20,Oil Producer,DEV,5280ftMD,11-Nov-11,,
EBOK-21,Oil Producer,DEV,7676ftMD,6-Jan-13,,
EBOK-22,Oil Producer,DEV,4209ftMD,28-Sep-11,,
EBOK-23,Oil Producer,DEV,6652ftMD,"Feb. 10, 2011",,
EBOK-24,Not Applicable,ORD APP,7203ftMD,7-Jul-11,,
EBOK-25,Oil Producer,DEV,3773ftMD,"25 September, 2011",,
EBOK-25ST1,Oil Producer,DEV,4525ftMD,"25 September, 2011",,
EBOK-26,Oil Producer,DEV,7067ftMD,"19 August, 2011",,
EBOK-27,Oil Producer,DEV,7756ftMD,14-Aug-11,,
EBOK-28,Oil Producer,DEV,6526ftMD,11-Oct-11,,
EBOK-29,Oil Producer,DEV,5170ftMD,3-Feb-12,,
EBOK-29ST1,Oil Producer,DEV,5129ftMD,,,
EBOK-29ST2,Oil Producer,DEV,6047ftMD,,,
EBOK-3,Not Applicable,ORD APP,1471.9,Jan 27/70,,
EBOK-30,Oil Producer,DEV,7255ftMD,20-Mar-12,,
EBOK-30ST1,Oil Producer,DEV,7331ftMD,,,
EBOK-31,Not Applicable,ORD APP,4320ftMD,12-Apr-12,,
EBOK-32 ,Oil Producer,DEV,9542ftMD,6-Oct-12,,
EBOK-32ST,Oil Producer,DEV,6593ftMD,,,
EBOK-33 ,Oil Producer,DEV,7125ftMD,14-Oct-12,,
EBOK-34,Oil Producer,DEV,2319ftMD,1-Mar-13,,
EBOK-34ST1,Oil Producer,DEV,6875ftMD,1-Mar-13,,
EBOK-34ST2,Oil Producer,DEV,6770ft MD,,,
EBOK-35,Oil Producer,DEV,8265ftMD,10-Apr-13,,
EBOK-35ST,Oil Producer,DEV,9832ftMD,,,
EBOK-36 ,Oil Producer,DEV,9281ftMD,6-Jun-13,,
EBOK-4,Not Applicable,ORD APP,,Nov 24/08,,
EBOK-5,Not Applicable,ORD APP,,"25th Sept, 2009",,
EBOK-6,Not Applicable,ORD APP,4300ft,"20th Nov, 2009",,
EBOK-6ST,Not Applicable,ORD APP,9200ft,22-Apr-10,,
EBOK-6ST2,Not Applicable,ORD APP,,21 Apr. 2010,,
EBOK-8,Oil Producer,DEV,8130ft,16-Mar-10,,
EBOK-8ST2,Oil Producer,DEV,6247ftMD,16-Mar-11,,
EBOK-8ST2,Oil Producer,DEV,6247ftMD,,,
EBOK-9,Not Applicable,ORD APP,7202ftMD,"18 Dec, 2009",,
EBOLIBO-1,Not Applicable,EXP,,Dec 05/07,,
EBUBU-1,Not Applicable,EXP,3641.5,Aug 05/58,,
EBUBU-10,Not Applicable,ORD APP,2778.6,Dec 09/72,,
EBUBU-2,Not Applicable,ORD APP,2767,Mar 18/59,,
EBUBU-3,Not Applicable,ORD APP,2752.3,Apr 15/59,,
EBUBU-4,Not Applicable,ORD APP,2834.6,May 15/59,,
EBUBU-5,Not Applicable,ORD APP,2743.2,Aug 09/60,,
EBUBU-6,Not Applicable,ORD APP,2743.2,Oct 23/64,,
EBUBU-7,Not Applicable,ORD APP,3028.2,Nov 10/64,,
EBUBU-8,Oil Producer,DEV,2651.8,Aug 07/66,,
EBUBU-9,Oil Producer,DEV,2743.2,Aug 21/66,,
EBUGHU EAST-1H,Oil Producer,DEV,2988,Sep 16/02,,
EBUGHU EAST-2H,Oil Producer,DEV,3461,Sep 01/02,,
EBUGHU EAST-3H,Oil Producer,DEV,2775,Nov 06/04,,
EBUGHU EAST-3PH,Oil Producer,DEV,1910,Nov 08/04,,
EBUGHU EAST-4H,Oil Producer,DEV,3063,Nov 15/04,,
EBUGHU EAST-5H,Oil Producer,DEV,3000,Feb 10/07,,
EBUGHU EAST-6H,Oil Producer,DEV,3000,,,
EBUGHU NORTH-1,Not Applicable,EXP,1887,Jul 15/00,,
EBUGHU NORTH-1ST1,Not Applicable,EXP,3369,Jul 25/00,,
EBUGHU NORTH-1ST2,Not Applicable,EXP,2315,Aug 18/00,,
EBUGHU NORTH-1ST2R,Not Applicable,EXP,2135,Aug 27/00,,
EBUGHU NORTH-1ST2RR,Not Applicable,EXP,2895,Aug 29/00,,
EBUGHU NORTH-1ST3,Not Applicable,EXP,2872,Aug 01/00,,
EBUGHU NORTH-1ST4,Not Applicable,EXP,2949,Jul 29/00,,
EBUGHU NORTH-1ST5,Not Applicable,EXP,3294,Aug 04/00,,
EBUGHU NORTHEAST-1H,Not Applicable,EXP,3856,Oct 18/01,,
EBUGHU NORTHEAST-2A1,Not Applicable,EXP,2573,Apr 04/04,,
EBUGHU NORTHEAST-2A2,Not Applicable,EXP,2466,Mar 29/04,,
EBUGHU NORTHEAST-2H,Oil Producer,DEV,2939,Mar 25/04,,
EBUGHU NORTHEAST-3H,Oil Producer,DEV,2991,Mar 12/04,,
EBUGHU NORTHEAST-4H,Oil Producer,DEV,3178,Mar 17/04,,
EBUGHU NORTHEAST-5H,Oil Producer,DEV,3317,Mar 21/04,,
EBUGHU NORTHEAST-6H,Oil Producer,DEV,3036,Oct 20/04,,
EBUGHU NORTHEAST-7H,Oil Producer,DEV,,,,
EBUGHU SOUTH-1H,Oil Producer,DEV,2826,Jul 17/02,,
EBUGHU SOUTH-2H,Oil Producer,DEV,3308,Sep 29/04,,
EBUGHU WEST-A,Not Applicable,EXP,2700,Aug 29/99,,
EBUGHU-1,Not Applicable,EXP,2570,Jul 10/80,,
EBUGHU-10H,Oil Producer,DEV,2866,Oct 23/99,,
EBUGHU-11H,Oil Producer,DEV,2500,Dec 15/00,,
EBUGHU-12H,Oil Producer,DEV,3035,Dec 14/00,,
EBUGHU-12HST1,Oil Producer,DEV,2650,Feb 20/01,,
EBUGHU-12PH,Oil Producer,DEV,2668,Dec 18/00,,
EBUGHU-13H,Oil Producer,DEV,2500,Dec 16/00,,
EBUGHU-13PH,Oil Producer,DEV,2417,Dec 23/00,,
EBUGHU-14H,Oil Producer,DEV,2325,Nov 03/02,,
EBUGHU-15H,Oil Producer,DEV,,,,
EBUGHU-16H,Oil Producer,DEV,2000,,,
EBUGHU-17PH,Oil Producer,DEV,2668.8,26.07.2012,,
EBUGHU-18H,Oil Producer,DEV,2660.3,30.10.2012,,
EBUGHU-2,Not Applicable,ORD APP,2842,Feb 12/84,,
EBUGHU-3,Not Applicable,ORD APP,1968,Mar 13/84,,
EBUGHU-4,Oil Producer,DEV,2161,Mar 24/84,,
EBUGHU-4D,Not Applicable,ORD APP,2816,Mar 22/88,Might be same as EBUGHU-4ST1,
EBUGHU-4ST1,Not Applicable,ORD APP,2816,Apr 17/88,,
EBUGHU-5H,Oil Producer,DEV,2500,Aug 02/96,,
EBUGHU-6H,Oil Producer,DEV,2597,Aug 23/99,,
EBUGHU-7H,Oil Producer,DEV,2184,Aug 26/99,,
EBUGHU-8H,Oil Producer,DEV,2334,Aug 25/99,,
EBUGHU-8HST1,Oil Producer,DEV,2975,Oct 10/99,,
EBUGHU-9H,Oil Producer,DEV,2506,Oct 07/99,,
EBWA-1,Not Applicable,EXP,2922,Aug 01/98,,
EC-1,Not Applicable,EXP,2272.3,Apr 06/65,,
EC-2,Not Applicable,ORD APP,3048,Apr 04/68,,
ECHIM-1,Not Applicable,EXP,,Nov 01/07,,
ED-1,Not Applicable,EXP,2286,Jun 20/65,,
EDASUO-1,Not Applicable,EXP,3981,Apr 09/79,,
EDE-1,Not Applicable,EXP,4056,Dec 15/97,,
EDE-2,Not Applicable,ORD APP,2347,Jul 25/98,,
EDE-3,Not Applicable,ORD APP,2377,Aug 22/98,,
EDE-3ST1,Not Applicable,ORD APP,2805,Sep 20/98,,
EDI-1,Not Applicable,EXP,2590.8,Apr 25/65,,
EDIAGBOR-1,Not Applicable,EXP,3959,Nov 11/72,,
EDIDIANA NORTH-1,Not Applicable,EXP,2080,Apr 15/94,,
EDIDIANA-1,Not Applicable,EXP,2590,Oct 14/76,,
EDIDIANA-2,Not Applicable,ORD APP,2703,Jun 15/92,,
EDIDIANA-3,Not Applicable,ORD APP,2380,Nov 15/92,,
EDIDIONG-1,Not Applicable,EXP,3198,Nov 13/98,,
EDIK-1,Not Applicable,EXP,1828.8,May 13/71,,
EDIK-2,Not Applicable,EXP,1371.6,Jun 02/71,,
EDIKAN-1,Not Applicable,EXP,2450,Apr 24/89,,
EDIKAN-10,Oil Producer,DEV,2610,May 21/94,,
EDIKAN-11,Oil Producer,DEV,2343,Jun 08/94,,
EDIKAN-12,Oil Producer,DEV,1880,Oct 12/94,,
EDIKAN-13,Oil Producer,DEV,2560,Jan 13/01,,
EDIKAN-14,Oil Producer,DEV,2465,Feb 07/01,,
EDIKAN-15,Oil Producer,DEV,1912,Oct 27/03,,
EDIKAN-15ST1,Oil Producer,DEV,2504,Nov 12/03,,
EDIKAN-16,Water Injector,DEV,2595,Dec 03/03,,
EDIKAN-17,Water Injector,DEV,2682,Jan 06/04,,
EDIKAN-18,Water Injector,DEV,2130,Jan 13/04,,
EDIKAN-19,Water Injector,DEV,1260,Jan 23/04,,
EDIKAN-2,Not Applicable,ORD APP,2582,Nov 22/89,,
EDIKAN-20,Water Injector,DEV,1340,Jan 17/04,,
EDIKAN-21,Oil Producer,DEV,2505,Mar 09/04,,
EDIKAN-3,Not Applicable,ORD APP,2616,Feb 09/90,,
EDIKAN-4,Not Applicable,ORD APP,2460,Nov 16/90,,
EDIKAN-5,Oil Producer,DEV,2106,Dec 05/93,,
EDIKAN-6,Oil Producer,DEV,2057,Dec 25/93,,
EDIKAN-7,Oil Producer,DEV,2788,Jan 15/94,,
EDIKAN-8,Oil Producer,DEV,2636,Mar 13/94,,
EDIKAN-9,Oil Producer,DEV,1453,Apr 06/94,,
EDIKAN-9ST1,Oil Producer,DEV,2157,Apr 19/94,,
