Field_Name,Block_Name,Zone_Name
EGBELEKE,OML 79,N/A
EGBEMA,OML 20,N/A
EGBEMA WEST,OML 20,N/A
EGBOLOM,OML 23,N/A
EGBOMIE,OML 35,N/A
EGINA ,OML 130,N/A
EGINA SOUTH,OML 130,N/A
EGUNABO,OML 46,N/A
EGWA,O ML42,N/A
EH, OML 79,N/A
EHURU,OML 79,N/A
EJ,OML 79,N/A
EJA,OML 79,N/A
EJANA,OML 141,N/A
EJIGBEDE,OML 79,N/A
EJULEBE,OML 109,N/A
EKANGA,OML 102,N/A
EKEDEI,OML 63,N/A
EKEH,OML 88,N/A
EKEPKEP,OML 67,N/A
EKET,OML13,N/A
EKIM,OML 13,N/A
EKO,OML 95,N/A
EKOLI,OML 128,N/A
EKORO,OML 44,N/A
EKPAT,OML 67,N/A
EKPE,OML 70,N/A
EKPE W EST,OML 70,N/A
EKPE WW,OML 70,N/A
EKU,OML 67,N/A
EKULAMA,OML 24,N/A
EKURA,OML 95,N/A
EKWE,OML 114,N/A
ELELENWA,OML 17,N/A
ELEPA,OML 33,N/A
ELOLO,OML 43,N/A
EMEIN,OML 244,N/A
EMEM,OML 102,N/A
EMETTE,OML 63,N/A
EMIANG,OML 70,N/A
EMOHUA,OML 22,N/A
ENANG,OML 67,N/A
ENANG SOUTH,OML 67,N/A
ENANG WEST,OML 67,N/A
ENGULE,OML 134,N/A
ENWHE,OML 28,N/A
EP,OML 79,N/A
EPU,OML 28,N/A
EREKUKU,OML 79,N/A
EREMA,OML 58,N/A
EREMA WEST,OML 58,N/A
EREMOR,OML 46,N/A
ERHA MAIN,OML133,N/A
ERHA NORTH,OML 133,N/A
ERIEMU,OML 30,N/A
ERINWINDU,OML 98,N/A
ESCRAVOS BEACH,OML 43,N/A
ET,OML 79,N/A
ETAN MAIN,OML 245,N/A
ETAN WEST,OML 245,N/A
ETE,OML 13,
ETE SOUTH,OML 13,
ETEBI,OML 13,
ETELEBOU,OML 28,
ETIM,OML 67,
ETIM WEST,OML 67,
ETISONG,OML 102,
ETORO,OML 67,
EVWRENI,OML 30,
EWAN,OML 49,
FORCADOS SOUTH WEST,OML 43,
FORCADOS-YOKRI,OML 45,
FUNIWA,OML 86,
GBADUDU,OML 95,
GBARAN,OML 28,
GBETIOKUN,OML 40,
GBOKODA,OML 49,
GILLI-GILLI,OML 96,
GREAT IYAK,OML 67,
GWATO,OML 49,
HA,OML 77,
HB,OML 77,
HB-BUKO,OML 86,
HD,OML 77,
HELY CREEK,OML 49,
HI,OPL 238,
HM,OML 77,
HOBOHOBO,OML 77,
HP,OML 77,
HUGHES CHANNEL,OML 11,
IBEWA,OML 58,
IBIBIO,OML 13,
IBIGWE,OML 16,
IBIOM,OML 100,
IBOM,OML 70,
IBOT,OML 67,
IBOTIO,OML13,
IDAMA,OML 55,
IDIOK,OML 67,
IDOHO,OML 68,
IDOHO NORTH,OML 68,
IDOHO WEST,OML 68,
IDU,OML 61,
IFURE,OML 67,
IGBABELE,OML 141,
IGBARIAMA,OML 7,
IGBOLO,OML 56,
IGBOMOTORU,OML 33,
IGBOMOTORU NORTH,OML 33,
IGBUKU,OML 56,
