RCNumber,name,CanonialName,address
,SEEPCO,,"Plot 205, Abiola Segun Ajayi Street Off Muri Okunola Street, Victoria Island, Lagos."
,SEPLAT PETROLEUM,,
,SEPLAT PETROLEUM,,
,SHELL NIGERIA EXPLORATION AND PRODUCTION COMPANY LIMITED,,"Freeman House, 21/22 Marina, Lagos."
,SHELL NIGERIA ULTRA DEEP LIMITED,,"21/22 Marina, Freeman House, Marina, Lagos."
,SHELL PETROLEUM DEVELOPMENT COMPANY OF NIGERIA LIMITED,,"Freeman House, 21/22 Marina, Lagos."
,SHORELINE,,
,SOGENAL LIMITED,,
RC284117,SOUTH ATLANTIC PETROLEUM LIMITED,,"2nd,11th & 12th Floors, South Atlantic Petroleum Towers, 1,Adeola Odeku Street, Victoria Island, Lagos, Nigeria."
,STARDEEP,,
RC186901,STATOIL NIGERIA LIMITED,,"1A Bourdillon Road, Ikoyi, Lagos, Nigeria."
,STERLING GLOBAL OIL RESOURCES LIMITED,,"Plot 205, Abiola Segun Ajayi Street Off Muri Okunola Street, Victoria Island, Lagos."
,SUMILLENIUM OIL AND GAS MMIT OIL INT. ,,
RC150351,SUMMIT OIL INTERNATIONAL LIMITED,,"Zulikha Wuraola House, 362, Herbert Macaulay Street, Yaba, Lagos"
,SUNLINK PETROLEUM,,
,TENOIL,,
RC2979,TOTAL EXPLORATION & PRODUCTION NIGERIA LIMITED,,"Lagos office: Plot 1415E Adetokunbo Ademola Street, Victoria Island, Lagos."
,TRANSNATIONAL CORPORATION,,
,UNIVERSAL ENERGY RESOURCES LIMITED,,"Plot 9 Banking Layouts, Off UdoUdoma way, Uyo, AKS."
RC302804,WALTERSMITH PETROMAN OIL LIMITED,,"18, Keffi Street, Ikoyi, Lagos, Nigeria."
RC12206,YINKA FOLAWIYO PETROLEUM COMPANY LIMITED,,"7th floor, Yinka Folawiyo Plaza, 38 Yinka Folawiyo Ave. Apapa, Lagos."
RC347525,ZEBBRA ENERGY LIMITED,,"10D,Lugard Avenue, Ikoyi, Lagos."
,OPEN ACREAGE/UNKNOWN LEASE,,
,NIGERIA NATIONAL PETROLEUM CORPORATION,,
,OCCIDENTAL PET. CORP,,
,OCEAN ENERGY NIG LTD,,
,OMEL,,
,PHILLIPS,,
