44,ABASARE-2,Not Applicable,2231.1,,3,0,Feb/17/1966,5/29/2017 16:41,5/29/2017 22:58,N/A,7814
45,ABASARE-3,Not Applicable,2425.3,,3,0,Jan/26/1967,5/29/2017 16:41,5/29/2017 22:58,N/A,7814
46,ABASARE-4,Not Applicable,3794.2,,3,0,Feb/13/1967,5/29/2017 16:41,5/29/2017 22:58,N/A,7814
47,ABIALA-1,Not Applicable,3360,,4,0,Dec/07/1989,5/29/2017 16:41,5/29/2017 22:58,N/A,7812
48,ABIGBORODO WEST-1,Not Applicable,3353,,1199,0,Feb/06/1979,5/29/2017 16:41,5/29/2017 22:58,N/A,7812
49,ABIGBORODO-1,Not Applicable,3783,,5,0,May/03/1974,5/29/2017 16:41,5/29/2017 22:58,N/A,7812
50,ABITEYE WEST-1,Not Applicable,2896,,1200,0,Apr/23/1974,5/29/2017 16:41,5/29/2017 22:58,N/A,7812
51,ABITEYE-1,Not Applicable,3025,,6,0,Nov/11/1970,5/29/2017 16:41,5/29/2017 22:58,N/A,7812
52,ABITEYE-10,Oil Producer,2727,,6,0,Apr/10/1972,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
53,ABITEYE-11,Oil Producer,2844,,6,0,May/04/1972,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
54,ABITEYE-12,Not Applicable,3520,,6,0,Jan/10/1975,5/29/2017 16:41,5/29/2017 22:58,N/A,7812
55,ABITEYE-13,Oil Producer,2357,,6,0,Aug/27/1978,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
56,ABITEYE-14,Not Applicable,3412,,6,0,Apr/08/1979,5/29/2017 16:41,5/29/2017 22:58,N/A,7814
57,ABITEYE-15,Not Applicable,3575,,6,0,May/30/1979,5/29/2017 16:41,5/29/2017 22:58,N/A,7814
58,ABITEYE-16,Oil Producer,3033,,6,0,Aug/24/1979,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
59,ABITEYE-17,Oil Producer,2661,,6,0,Nov/04/1979,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
60,ABITEYE-18,Oil Producer,2719,,6,0,Dec/04/1979,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
61,ABITEYE-19,Oil Producer,2454,,6,0,Feb/21/1980,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
62,ABITEYE-2,Not Applicable,2957,,6,0,Dec/31/1970,5/29/2017 16:41,5/29/2017 22:58,N/A,7814
63,ABITEYE-20,Oil Producer,2378,,6,0,Apr/09/1980,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
64,ABITEYE-21,Oil Producer,2819,,6,0,May/17/1980,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
65,ABITEYE-22,Oil Producer,2470,,6,0,Jun/13/1980,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
66,ABITEYE-23,Oil Producer,2739,,6,0,Sep/09/1980,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
67,ABITEYE-24,Oil Producer,2212,,6,0,Jul/10/1991,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
68,ABITEYE-25,Oil Producer,3527,,6,0,Jun/16/1995,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
69,ABITEYE-26,Oil Producer,2603,,6,0,Mar/29/1998,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
70,ABITEYE-3,Oil Producer,3019,,6,0,Feb/11/1971,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
71,ABITEYE-4,Oil Producer,2957,,6,0,Mar/23/1971,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
